,PLAYER_ID,label,DISPLAY_FIRST_LAST
40,1627763.0,8,Malcolm Brogdon
286,202397.0,8,Ish Smith
190,201951.0,8,Ty Lawson
76,203521.0,8,Matthew Dellavedova
307,202323.0,8,Evan Turner
164,201943.0,8,Brandon Jennings
268,200771.0,8,Sergio Rodriguez
213,204456.0,8,T.J. McConnell
98,1627812.0,8,Yogi Ferrell
269,200765.0,8,Rajon Rondo
177,202709.0,8,Cory Joseph
248,2225.0,8,Tony Parker
102,204025.0,8,Tim Frazier
100,203095.0,7,Evan Fournier
115,201569.0,7,Eric Gordon
45,203484.0,7,Kentavious Caldwell-Pope
104,201568.0,7,Danilo Gallinari
209,202083.0,7,Wesley Matthews
315,203079.0,7,Dion Waiters
251,101108.0,7,Chris Paul
279,203471.0,7,Dennis Schroder
146,201950.0,7,Jrue Holiday
292,201952.0,7,Jeff Teague
22,201587.0,7,Nicolas Batum
144,201588.0,7,George Hill
131,203914.0,7,Gary Harris
243,203506.0,7,Victor Oladipo
276,1626156.0,7,D'Angelo Russell
223,202328.0,6,Greg Monroe
36,202344.0,6,Trevor Booker
240,203994.0,6,Jusuf Nurkic
242,1626143.0,6,Jahlil Okafor
202,201577.0,6,Robin Lopez
47,203991.0,6,Clint Capela
173,203093.0,6,Terrence Jones
111,201959.0,6,Taj Gibson
94,202324.0,6,Derrick Favors
179,202683.0,6,Enes Kanter
262,2216.0,6,Zach Randolph
310,202685.0,6,Jonas Valanciunas
5,2754.0,6,Tony Allen
110,201959.0,6,Taj Gibson
197,202720.0,6,Jon Leuer
174,203093.0,6,Terrence Jones
108,2200.0,6,Pau Gasol
234,2749.0,5,Jameer Nelson
326,101114.0,5,Deron Williams
229,1626144.0,5,Emmanuel Mudiay
63,203459.0,5,Allen Crabbe
28,201976.0,5,Patrick Beverley
67,203552.0,5,Seth Curry
274,201937.0,5,Ricky Rubio
183,2594.0,5,Kyle Korver
287,2747.0,5,JR Smith
185,2594.0,5,Kyle Korver
285,203935.0,5,Marcus Smart
192,201584.0,5,Courtney Lee
24,203145.0,5,Kent Bazemore
252,203901.0,5,Elfrid Payton
325,101114.0,5,Deron Williams
265,203085.0,5,Austin Rivers
58,201954.0,5,Darren Collison
264,1626196.0,5,Josh Richardson
159,1627742.0,5,Brandon Ingram
97,1627812.0,5,Yogi Ferrell
290,203917.0,5,Nik Stauskas
15,202337.0,4,Luke Babbitt
12,201589.0,4,Darrell Arthur
16,1627758.0,4,Ron Baker
293,203141.0,4,Mirza Teletovic
85,1627739.0,4,Kris Dunn
196,203086.0,4,Meyers Leonard
56,203902.0,4,Semaj Christon
84,2399.0,4,Mike Dunleavy
78,2564.0,4,Boris Diaw
166,201973.0,4,Jonas Jerebko
319,201228.0,4,C.J. Watson
170,1626169.0,4,Stanley Johnson
311,1627756.0,4,Denzel Valentine
295,1891.0,4,Jason Terry
0,203518.0,4,Alex Abrines
46,203477.0,4,Isaiah Canaan
119,1626170.0,4,Jerian Grant
227,201627.0,4,Anthony Morrow
38,201147.0,4,Corey Brewer
39,201147.0,4,Corey Brewer
211,1627775.0,4,Patrick McCaw
42,203493.0,4,Reggie Bullock
176,201599.0,3,DeAndre Jordan
82,203083.0,3,Andre Drummond
152,2730.0,3,Dwight Howard
313,202696.0,3,Nikola Vucevic
113,203497.0,3,Rudy Gobert
322,202355.0,3,Hassan Whiteside
320,201566.0,2,Russell Westbrook
304,1626157.0,2,Karl-Anthony Towns
61,202326.0,2,DeMarcus Cousins
60,202326.0,2,DeMarcus Cousins
70,203076.0,2,Anthony Davis
162,2544.0,2,LeBron James
127,201935.0,2,James Harden
302,201977.0,1,Marcus Thornton
291,201155.0,1,Rodney Stuckey
289,201578.0,1,Marreese Speights
309,1627755.0,1,Tyler Ulis
298,203138.0,1,Hollis Thompson
327,202682.0,1,Derrick Williams
335,1627826.0,1,Ivica Zubac
284,203613.0,1,Jonathon Simmons
175,1627884.0,1,Derrick Jones Jr.
281,201196.0,1,Ramon Sessions
130,2734.0,1,Devin Harris
125,203120.0,1,Justin Hamilton
112,1938.0,1,Manu Ginobili
101,200751.0,1,Randy Foye
92,203957.0,1,Dante Exum
75,1627098.0,1,Malcolm Delaney
74,1626155.0,1,Sam Dekker
69,203584.0,1,Troy Daniels
51,201956.0,1,Omri Casspi
50,203487.0,1,Michael Carter-Williams
43,202692.0,1,Alec Burks
41,1627759.0,1,Jaylen Brown
30,202357.0,1,Nemanja Bjelica
7,1626147.0,1,Justin Anderson
1,203112.0,1,Quincy Acy
135,201150.0,1,Spencer Hawes
205,1627789.0,1,Timothe Luwawu-Cabarrot
200,2733.0,1,Shaun Livingston
258,203939.0,1,Dwight Powell
256,1626171.0,1,Bobby Portis
232,203488.0,1,Mike Muscala
217,203463.0,1,Ben McLemore
206,1626168.0,1,Trey Lyles
260,1627752.0,1,Taurean Prince
259,1626181.0,1,Norman Powell
273,1626179.0,1,Terry Rozier
328,101150.0,0,Lou Williams
329,101150.0,0,Lou Williams
331,201156.0,0,Nick Young
21,203115.0,0,Will Barton
33,202711.0,0,Bojan Bogdanovic
8,201583.0,0,Ryan Anderson
34,202711.0,0,Bojan Bogdanovic
263,200755.0,0,JJ Redick
278,203967.0,0,Dario Saric
171,204020.0,0,Tyler Johnson
64,2037.0,0,Jamal Crawford
57,203903.0,0,Jordan Clarkson
178,1626163.0,0,Frank Kaminsky
238,1717.0,0,Dirk Nowitzki
126,203501.0,0,Tim Hardaway Jr.
199,202391.0,0,Jeremy Lin
181,203930.0,0,Sean Kilpatrick
150,203918.0,0,Rodney Hood
156,101141.0,0,Ersan Ilyasova
157,101141.0,0,Ersan Ilyasova
161,202704.0,0,Reggie Jackson
168,201949.0,0,James Johnson
